,0,LPS,chitin,elf,flg,nlp,OGs,pep
188,AT1G12760,0,0,1,1,1,0,1
189,AT1G12940,0,0,1,0,0,1,0
190,AT1G12970,0,0,0,1,0,0,0
191,AT1G13000,0,0,1,1,1,0,1
192,AT1G13080,0,1,1,0,0,0,1
193,AT1G13100,0,0,1,1,0,0,0
194,AT1G13110,0,1,1,1,1,1,1
195,AT1G13180,0,0,0,1,0,0,0
196,AT1G13195,0,0,0,1,1,0,0
197,AT1G13210,0,0,1,1,1,1,1
198,AT1G13260,0,0,1,1,0,0,0
199,AT1G13340,0,0,1,1,1,1,1
200,AT1G13360,0,0,0,0,1,0,0
201,AT1G13390,0,0,0,1,0,0,0
202,AT1G13410,0,0,0,1,0,0,0
203,AT1G13420,0,0,0,0,0,1,0
204,AT1G13450,0,0,0,1,0,0,0
205,AT1G13470,1,1,1,1,1,1,1
206,AT1G13480,0,0,0,1,0,0,0
207,AT1G13500,0,0,0,0,0,0,1
208,AT1G13510,0,0,0,0,0,0,1
209,AT1G13520,0,1,1,1,1,1,1
210,AT1G13530,0,0,1,1,1,1,1
211,AT1G13540,0,0,1,1,1,1,0
212,AT1G13550,1,0,1,1,1,1,1
213,AT1G13580,0,0,0,1,0,0,0
214,AT1G13590,0,0,1,1,0,0,0
215,AT1G13830,0,0,0,0,1,0,0
216,AT1G13960,0,0,0,1,0,0,0
217,AT1G13990,0,0,1,1,1,1,0
218,AT1G14000,0,0,1,1,0,0,0
219,AT1G14040,0,0,1,1,1,0,1
220,AT1G14170,0,0,1,1,1,0,1
221,AT1G14200,1,1,1,1,1,1,1
222,AT1G14260,0,0,1,1,1,1,1
223,AT1G14330,0,0,1,1,1,0,1
224,AT1G14360,0,0,1,1,1,1,1
225,AT1G14370,0,0,1,1,1,1,1
226,AT1G14420,0,0,0,0,1,0,0
227,AT1G14510,0,0,0,1,0,0,0
228,AT1G14540,0,0,1,1,1,1,1
229,AT1G14550,0,0,1,1,1,1,1
230,AT1G14560,0,0,1,0,0,0,0
231,AT1G14640,0,0,1,1,1,1,1
232,AT1G14642,0,0,1,1,1,0,1
233,AT1G14650,0,0,0,1,0,0,0
234,AT1G14730,0,0,1,1,1,0,0
235,AT1G14740,0,0,1,1,1,0,1
236,AT1G14780,0,1,1,1,0,1,1
237,AT1G14860,0,0,0,0,0,0,1
238,AT1G14870,0,1,1,1,1,1,1
239,AT1G15010,0,0,0,0,0,1,0
240,AT1G15030,0,0,1,1,0,0,1
241,AT1G15040,0,0,0,1,0,1,1
242,AT1G15125,0,0,0,0,1,0,1
243,AT1G15190,0,0,1,1,1,0,1
244,AT1G15350,0,0,1,1,0,0,0
245,AT1G15385,0,0,0,1,0,0,1
246,AT1G15400,0,0,0,1,1,0,0
247,AT1G15415,0,0,1,1,1,1,1
248,AT1G15430,0,0,1,1,1,1,1
249,AT1G15520,1,1,1,1,1,1,1
250,AT1G15530,0,0,0,1,1,0,1
251,AT1G15540,0,0,0,1,1,0,1
252,AT1G15580,0,0,1,0,0,0,1
253,AT1G15670,0,0,1,1,1,1,1
254,AT1G15790,0,0,1,0,1,1,1
255,AT1G15800,0,0,1,1,1,1,1
256,AT1G15880,0,0,0,1,0,0,0
257,AT1G15890,0,0,1,1,1,1,1
258,AT1G15900,0,0,0,1,0,0,0
259,AT1G15950,0,0,1,0,0,0,0
260,AT1G16090,0,0,1,1,1,0,1
261,AT1G16110,0,0,1,1,0,1,1
262,AT1G16130,0,0,1,1,1,1,1
263,AT1G16150,1,1,1,1,1,1,1
264,AT1G16160,0,0,1,1,1,1,1
265,AT1G16220,0,0,0,0,0,0,1
266,AT1G16240,0,0,1,1,0,0,0
267,AT1G16260,0,0,1,1,0,0,1
268,AT1G16370,0,0,1,0,0,0,1
269,AT1G16420,1,1,1,1,1,1,1
270,AT1G16480,0,0,0,1,0,0,0
271,AT1G16500,0,0,0,0,1,1,1
272,AT1G16520,0,0,0,0,1,0,0
273,AT1G16540,0,0,1,1,1,0,0
274,AT1G16640,0,1,1,1,1,1,1
275,AT1G16670,0,0,1,1,1,1,1
276,AT1G17060,0,0,1,1,1,0,1
277,AT1G17147,0,0,1,1,1,1,1
278,AT1G17170,0,1,0,1,1,1,1
279,AT1G17180,0,0,0,1,1,0,1
280,AT1G17240,0,0,0,1,0,0,0
281,AT1G17290,0,0,1,1,1,1,1
282,AT1G17330,0,0,1,1,1,1,1
283,AT1G17380,0,0,1,1,1,1,1
284,AT1G17400,0,0,1,0,0,0,0
285,AT1G17420,0,0,1,1,1,1,1
286,AT1G17600,0,0,0,1,1,0,1
287,AT1G17730,0,0,0,1,1,0,0
288,AT1G17745,0,0,0,0,1,0,0
289,AT1G17750,0,0,0,1,1,0,1
290,AT1G17810,0,0,0,1,0,0,0
291,AT1G17860,0,0,1,1,1,1,1
292,AT1G17890,0,0,1,1,0,0,0
293,AT1G17990,0,0,1,1,1,0,0
294,AT1G18020,0,0,1,1,1,0,0
295,AT1G18140,0,0,0,0,0,0,1
296,AT1G18160,0,0,1,1,0,0,0
297,AT1G18200,0,0,1,1,0,1,1
298,AT1G18210,0,0,1,1,1,1,1
299,AT1G18290,0,0,1,1,1,1,1
300,AT1G18300,0,0,1,1,1,1,1
301,AT1G18350,0,1,0,0,0,0,0
302,AT1G18382,0,0,1,1,1,1,1
303,AT1G18390,0,1,1,1,1,1,1
304,AT1G18570,1,1,1,1,1,1,1
305,AT1G18590,0,0,1,1,1,1,0
306,AT1G18835,0,0,0,0,0,0,1
307,AT1G18860,0,0,0,1,0,0,0
308,AT1G18890,0,0,1,1,1,1,1
309,AT1G18900,0,0,0,1,1,0,1
310,AT1G18940,0,0,0,0,0,0,1
311,AT1G19010,0,0,0,1,0,0,0
312,AT1G19020,1,1,1,1,1,1,1
313,AT1G19050,0,0,1,0,0,0,0
314,AT1G19180,0,0,1,1,1,1,1
315,AT1G19190,0,0,0,0,0,1,0
316,AT1G19250,0,0,0,1,0,1,0
317,AT1G19270,0,0,1,1,1,0,0
318,AT1G19300,0,0,0,0,1,0,0
319,AT1G19310,0,0,1,1,1,1,1
320,AT1G19320,0,1,1,1,1,1,1
321,AT1G19330,0,0,1,0,0,0,1
322,AT1G19360,0,0,1,1,1,0,0
323,AT1G19380,1,1,1,1,1,1,1
324,AT1G19394,0,0,0,1,1,0,0
325,AT1G19396,0,0,0,1,0,0,0
326,AT1G19397,0,0,0,1,0,0,0
327,AT1G19530,0,0,0,1,0,0,0
328,AT1G19610,0,0,1,1,1,1,1
329,AT1G19670,0,0,0,1,1,0,0
330,AT1G19770,0,0,0,1,0,0,1
331,AT1G19840,0,0,0,0,0,0,1
332,AT1G19980,0,0,0,1,0,0,0
333,AT1G20100,0,0,0,1,0,0,0
334,AT1G20310,0,0,1,1,1,1,1
335,AT1G20350,0,0,1,1,1,0,0
336,AT1G20460,0,0,0,1,1,0,0
337,AT1G20490,0,0,0,0,0,0,1
338,AT1G20510,0,0,1,1,1,1,1
339,AT1G20680,0,0,1,0,1,1,1
340,AT1G20740,0,0,1,1,0,0,0
341,AT1G20780,0,0,1,1,1,1,1
342,AT1G20925,0,0,0,1,0,0,0
343,AT1G20980,0,0,0,1,0,0,0
344,AT1G21010,0,0,1,1,1,0,1
345,AT1G21050,0,0,0,0,1,0,0
346,AT1G21080,0,0,1,1,1,0,0
347,AT1G21100,0,0,1,1,1,1,1
348,AT1G21110,1,1,1,1,1,1,1
349,AT1G21120,1,1,1,1,1,1,1
350,AT1G21130,0,0,1,1,1,0,1
351,AT1G21140,0,0,0,0,0,0,1
352,AT1G21230,0,0,0,1,0,1,1
353,AT1G21240,1,1,1,1,1,1,1
354,AT1G21245,0,1,0,1,1,1,1
355,AT1G21250,1,1,0,0,1,1,1
356,AT1G21320,0,0,0,0,1,0,0
357,AT1G21326,0,0,0,1,1,0,1
358,AT1G21370,0,0,1,1,1,0,0
359,AT1G21380,0,0,1,1,0,0,0
360,AT1G21450,0,0,1,1,1,0,1
361,AT1G21520,0,1,1,0,1,1,1
362,AT1G21550,0,0,1,1,1,1,1
363,AT1G21590,0,0,1,0,1,0,0
364,AT1G21670,0,0,1,1,0,0,0
365,AT1G21900,0,0,1,1,1,0,1
366,AT1G22070,0,1,1,1,1,1,1
367,AT1G22150,0,0,0,0,1,0,0
368,AT1G22180,0,0,1,1,1,1,1
369,AT1G22210,0,0,0,1,0,0,0
370,AT1G22250,0,0,1,1,1,0,0
371,AT1G22280,0,0,1,1,1,1,1
372,AT1G22400,0,1,1,1,1,1,1
373,AT1G22403,0,0,0,1,1,1,0
374,AT1G22410,0,0,1,1,1,1,1
375,AT1G22510,0,0,0,0,1,0,0
376,AT1G22640,0,0,0,0,1,0,0
377,AT1G22650,0,1,1,1,1,1,1
378,AT1G22810,0,0,1,1,0,1,1
379,AT1G22870,0,0,0,1,0,0,0
380,AT1G22885,0,0,1,1,1,1,1
381,AT1G22890,0,0,1,1,1,1,1
382,AT1G22900,0,0,1,1,1,1,1
383,AT1G22985,0,0,0,1,0,0,0
384,AT1G23110,0,0,0,0,0,0,1
385,AT1G23140,0,0,1,0,0,0,0
386,AT1G23170,0,0,1,1,0,0,0
387,AT1G23200,0,0,1,1,1,0,0
388,AT1G23220,0,0,1,1,1,0,1
389,AT1G23380,0,0,0,0,0,0,1
390,AT1G23440,0,0,1,1,1,0,0
391,AT1G23450,0,0,0,1,0,0,0
392,AT1G23460,0,0,0,1,0,0,0
393,AT1G23550,0,0,1,1,1,1,1
394,AT1G23560,0,0,1,1,1,1,1
395,AT1G23700,0,0,0,1,0,0,0
396,AT1G23710,0,0,1,1,1,1,1
397,AT1G23730,0,0,0,1,1,1,1
398,AT1G23830,0,0,0,0,1,0,1
399,AT1G23840,1,1,1,1,1,1,1
400,AT1G23850,0,0,1,1,1,0,1
401,AT1G23900,0,0,0,1,0,0,0
402,AT1G24100,0,0,1,1,1,1,1
403,AT1G24145,1,1,1,1,1,1,1
404,AT1G24147,0,1,1,1,1,1,1
405,AT1G24150,0,0,1,1,1,1,1
406,AT1G24270,1,1,1,1,1,1,0
407,AT1G24350,0,0,0,1,0,0,0
408,AT1G24440,0,0,0,1,0,0,0
409,AT1G24600,0,0,0,1,0,0,0
410,AT1G24807,1,1,1,1,1,1,1
411,AT1G24909,1,1,1,1,1,1,1
412,AT1G25083,1,1,1,1,1,1,1
413,AT1G25155,1,1,1,1,1,1,1
414,AT1G25220,1,1,1,1,1,1,1
415,AT1G25275,0,0,1,1,1,1,1
416,AT1G25280,0,0,1,1,1,0,0
417,AT1G25370,0,0,1,1,1,1,1
418,AT1G25390,1,0,1,1,1,1,1
419,AT1G25400,0,0,1,1,1,1,1
420,AT1G25460,0,0,1,0,0,0,0
421,AT1G25550,0,0,0,1,0,0,0
422,AT1G25560,0,0,1,1,0,0,1
423,AT1G25570,0,0,1,0,0,0,0
424,AT1G25682,0,0,0,1,0,0,0
425,AT1G25988,0,0,0,0,1,0,0
426,AT1G26130,0,0,1,1,1,0,0
427,AT1G26240,0,1,0,1,0,1,1
428,AT1G26380,1,1,1,1,1,1,1
429,AT1G26390,0,0,0,1,0,0,0
430,AT1G26410,1,1,1,1,1,1,1
431,AT1G26420,1,1,1,1,1,1,1
432,AT1G26440,0,0,1,1,0,0,1
433,AT1G26580,0,0,0,1,0,0,0
434,AT1G26690,0,0,1,1,1,1,1
435,AT1G26730,0,0,1,1,1,1,1
436,AT1G26800,0,0,1,1,1,1,1
437,AT1G27020,0,0,0,0,1,1,1
438,AT1G27100,0,0,0,1,0,0,0
439,AT1G27110,0,0,0,0,0,0,1
440,AT1G27130,0,0,1,1,1,0,1
441,AT1G27180,0,0,0,1,0,0,0
442,AT1G27330,0,1,1,1,1,1,1
443,AT1G27350,0,0,1,1,1,1,1
444,AT1G27500,0,0,0,1,0,0,0
445,AT1G27710,0,0,0,1,0,0,0
446,AT1G27720,0,0,1,1,1,1,0
447,AT1G27730,0,0,1,1,1,1,1
448,AT1G27760,0,0,0,1,0,0,0
449,AT1G27770,0,0,0,1,1,0,0
450,AT1G27890,0,0,0,1,0,0,0
451,AT1G28010,0,0,1,1,0,0,0
452,AT1G28050,0,0,1,1,1,0,0
453,AT1G28190,0,0,1,1,1,1,1
454,AT1G28240,0,0,0,1,0,0,0
455,AT1G28250,0,0,1,1,0,0,0
456,AT1G28280,0,0,1,1,1,1,1
457,AT1G28370,0,0,1,1,1,1,1
458,AT1G28380,0,0,1,1,1,1,1
459,AT1G28390,1,1,1,1,1,1,1
460,AT1G28480,0,0,1,1,0,0,1
461,AT1G28550,0,0,0,1,0,0,0
462,AT1G28680,0,0,1,1,1,1,1
463,AT1G29060,0,0,1,1,1,1,0
464,AT1G29120,0,0,1,1,1,0,1
465,AT1G29195,0,0,0,0,0,1,0
466,AT1G29290,0,0,0,1,1,0,1
467,AT1G29300,0,0,0,0,1,0,0
468,AT1G29310,0,0,1,0,0,0,0
469,AT1G29330,0,0,0,1,0,1,0
470,AT1G29340,0,0,0,1,0,0,0
471,AT1G29357,0,0,0,0,0,1,0
472,AT1G29400,0,0,0,1,0,0,0
473,AT1G29640,0,0,0,0,0,0,1
474,AT1G29670,0,0,1,1,0,0,0
475,AT1G29680,0,0,0,1,0,0,0
476,AT1G29690,0,0,1,1,1,1,1
477,AT1G29715,0,1,1,1,1,1,1
478,AT1G29720,0,1,1,1,0,0,0
479,AT1G29750,0,0,1,1,0,1,0
480,AT1G29760,0,0,0,1,0,0,0
481,AT1G29860,0,0,1,1,1,0,1
482,AT1G29970,0,0,0,1,1,0,0
483,AT1G30000,0,0,1,1,0,0,0
484,AT1G30040,0,0,0,0,0,0,1
485,AT1G30070,0,0,1,0,0,0,0
486,AT1G30110,0,1,1,1,0,0,1
487,AT1G30135,0,0,1,1,1,1,1
488,AT1G30270,0,0,1,1,1,0,1
489,AT1G30300,0,0,1,1,0,1,1
490,AT1G30320,0,0,1,1,1,1,1
491,AT1G30370,0,0,0,1,1,1,1
492,AT1G30420,1,1,1,1,1,1,1
493,AT1G30620,0,1,1,1,1,1,1
494,AT1G30640,0,0,1,1,1,0,1
495,AT1G30700,1,1,1,1,1,1,1
496,AT1G30720,1,1,1,1,1,1,1
497,AT1G30730,1,1,1,1,1,1,1
498,AT1G30740,0,0,0,1,1,0,0
499,AT1G30755,1,1,1,1,1,1,1
500,AT1G30757,0,0,0,1,0,0,0
501,AT1G30760,0,0,0,0,0,0,1
502,AT1G30810,0,0,0,1,0,0,0
503,AT1G30860,0,0,0,1,0,0,0
504,AT1G30900,0,1,1,1,1,1,1
505,AT1G31040,0,0,0,0,0,0,1
506,AT1G31130,0,0,1,1,1,0,1
507,AT1G31220,0,0,1,0,0,0,0
508,AT1G31280,0,0,1,0,1,0,1
509,AT1G31340,0,0,1,1,0,0,0
510,AT1G31350,0,0,1,1,0,1,0
511,AT1G31355,0,1,1,1,0,1,1
512,AT1G31460,0,0,1,0,1,0,0
513,AT1G31540,0,0,1,1,1,0,1
514,AT1G31814,0,0,0,1,0,0,0
515,AT1G31885,0,0,0,1,0,0,0
516,AT1G31930,0,0,1,1,1,1,1
517,AT1G32120,0,0,1,1,0,0,1
518,AT1G32130,0,0,1,1,0,0,0
519,AT1G32170,0,0,0,1,0,0,0
520,AT1G32230,0,0,1,1,1,0,0
521,AT1G32330,0,0,1,1,1,0,0
522,AT1G32340,0,0,0,1,1,0,0
523,AT1G32350,0,0,0,1,1,1,1
524,AT1G32375,0,0,0,1,0,0,0
525,AT1G32460,0,0,1,1,0,0,0
526,AT1G32640,0,0,1,1,1,0,1
527,AT1G32700,0,0,1,1,1,1,1
528,AT1G32870,0,0,0,1,1,0,0
529,AT1G32880,0,0,0,1,0,0,0
530,AT1G32910,0,0,0,0,0,0,1
531,AT1G32920,0,0,0,1,1,0,1
532,AT1G32928,0,0,1,1,0,0,1
533,AT1G32940,0,0,1,1,1,1,0
534,AT1G32950,0,0,0,1,1,0,0
535,AT1G32960,0,1,1,1,1,1,1
536,AT1G32970,0,0,0,0,0,0,1
537,AT1G33030,1,1,1,1,1,1,1
538,AT1G33050,0,0,0,1,0,0,0
539,AT1G33110,0,0,1,1,1,1,1
540,AT1G33390,0,0,1,1,1,0,0
541,AT1G33420,0,0,0,1,0,0,0
542,AT1G33475,0,0,0,1,0,0,0
543,AT1G33590,1,1,1,1,1,1,1
544,AT1G33600,1,0,1,1,1,1,1
545,AT1G33610,1,1,1,1,1,1,1
546,AT1G33612,1,0,1,1,1,0,1
547,AT1G33615,0,0,1,1,0,0,0
548,AT1G33760,0,0,0,0,0,0,1
549,AT1G33790,0,0,0,0,0,0,1
550,AT1G33840,0,0,1,1,0,0,0
551,AT1G33960,0,0,0,0,1,1,0
552,AT1G33980,0,0,0,1,0,0,0
553,AT1G34150,0,0,0,1,0,0,0
554,AT1G34180,0,0,0,0,0,0,1
555,AT1G34190,0,0,0,1,0,0,0
556,AT1G34200,0,0,0,0,1,0,0
557,AT1G34220,0,0,0,1,0,0,0
558,AT1G34260,0,0,1,1,1,0,0
559,AT1G34300,0,0,1,1,1,0,1
560,AT1G34315,0,0,0,1,0,0,0
561,AT1G34320,0,0,1,1,1,0,1
562,AT1G34370,0,0,1,1,1,0,1
563,AT1G34420,0,1,1,1,1,1,1
564,AT1G34670,0,0,0,0,0,0,1
565,AT1G34750,1,1,1,1,1,1,1
566,AT1G35180,0,0,0,1,0,0,0
567,AT1G35210,0,0,0,1,1,1,1
568,AT1G35230,0,1,1,1,1,1,1
569,AT1G35350,0,0,0,1,1,0,1
570,AT1G35430,0,0,1,1,0,0,0
571,AT1G35580,0,0,0,1,0,0,0
572,AT1G35660,0,0,1,0,0,0,0
573,AT1G35670,0,0,0,1,0,0,0
574,AT1G35710,1,1,1,1,1,1,1
575,AT1G35910,0,0,1,1,1,0,1
576,AT1G36370,1,0,1,1,1,1,1
577,AT1G36622,1,1,1,1,1,1,1
578,AT1G36640,0,1,1,1,1,1,1
579,AT1G42470,0,0,0,1,0,0,0
580,AT1G42680,0,0,0,1,1,0,0
581,AT1G42980,0,0,1,1,1,1,1
582,AT1G42990,0,0,1,1,1,1,1
583,AT1G43000,0,0,1,1,1,0,1
584,AT1G43140,0,0,0,0,0,0,1
585,AT1G43160,0,0,0,1,0,1,1
586,AT1G43180,0,1,1,1,0,1,1
587,AT1G44010,0,0,0,1,0,0,0
588,AT1G44090,0,0,0,1,0,0,0
589,AT1G44100,0,0,0,0,0,0,1
590,AT1G44120,0,0,1,0,0,0,0
591,AT1G44130,0,0,1,1,1,1,1
592,AT1G44350,0,0,1,1,1,1,1
593,AT1G44830,1,1,0,0,0,0,0
594,AT1G45010,0,0,1,0,0,0,0
595,AT1G45145,0,0,1,1,1,1,1
596,AT1G45180,0,0,0,1,0,0,0
597,AT1G45233,0,0,0,1,0,0,0
598,AT1G47056,0,0,0,1,0,0,0
599,AT1G47370,0,0,0,1,1,0,0
600,AT1G47480,0,0,0,1,1,0,1
601,AT1G47510,0,0,1,1,1,1,1
602,AT1G47530,0,0,0,1,0,0,0
603,AT1G47560,0,0,0,1,0,0,0
604,AT1G47710,0,0,0,1,0,0,0
