ATG,LPS,chitin,elf,flg,nlp,OGs,pep
AT1G09920,0,0,0,1,0,0,0
AT1G09930,0,0,1,1,1,1,1
AT1G09932,1,1,1,1,1,1,1
AT1G09940,1,1,1,1,1,1,1
AT1G09950,1,1,1,1,1,1,1
AT1G09970,1,1,1,1,1,1,1
AT1G09995,0,0,0,0,0,1,0
AT1G10040,0,1,1,1,1,1,1
AT1G10050,0,0,1,1,1,1,1
AT1G10070,0,0,0,1,1,0,1
AT1G10140,0,0,1,1,1,1,1
AT1G10150,0,0,0,1,0,0,0
AT1G10170,0,0,0,1,0,0,0
AT1G10280,0,0,0,1,0,0,0
AT1G10290,0,0,0,1,0,0,0
AT1G10340,1,1,1,1,1,1,1
AT1G10370,0,0,1,1,0,1,1
AT1G10400,0,0,1,0,0,0,0
AT1G10410,0,0,1,1,1,1,1
AT1G10417,1,1,1,1,1,1,1
AT1G10480,0,0,0,0,0,1,1
AT1G10560,0,0,0,1,0,1,1
AT1G10580,0,0,0,1,1,0,1
AT1G10585,0,0,1,1,1,1,1
AT1G10586,0,0,0,1,0,0,0
AT1G10650,0,0,1,1,1,1,1
AT1G10700,0,0,1,1,1,0,1
AT1G10720,0,0,1,1,0,0,0
AT1G10740,0,0,0,1,0,0,0
AT1G10865,0,0,0,1,0,0,0
AT1G10900,0,0,1,1,0,0,0
AT1G10920,0,0,1,1,0,0,0
AT1G10990,0,0,0,1,1,0,1
AT1G11000,0,0,0,1,0,0,0
AT1G11050,1,1,1,1,1,1,1
AT1G11100,0,0,1,1,1,1,1
AT1G11125,0,0,0,0,0,0,1
AT1G11170,0,0,1,1,0,0,0
AT1G11185,0,0,1,1,1,1,1
AT1G11200,0,1,1,1,1,1,1
AT1G11210,0,0,1,1,0,1,1
AT1G11300,0,1,1,1,1,0,1
AT1G11310,1,1,1,1,1,1,1
AT1G11320,0,0,0,1,0,0,0
AT1G11330,0,1,1,0,1,0,1
AT1G11362,0,0,1,1,0,0,0
AT1G11370,0,0,0,1,0,0,0
AT1G11400,0,0,0,1,0,0,0
AT1G11670,0,0,0,0,0,1,1
AT1G11890,0,0,1,1,0,0,0
AT1G11905,0,0,0,1,1,0,1
AT1G11920,0,0,0,1,0,1,0
AT1G11925,0,0,1,1,1,1,1
AT1G11960,0,0,1,1,0,1,1
AT1G12030,0,0,1,1,1,1,0
AT1G12180,0,0,1,1,0,0,0
AT1G12200,0,0,1,1,1,1,1
AT1G12210,0,0,0,1,1,0,0
AT1G12340,0,0,0,1,0,0,0
AT1G12360,0,0,1,1,1,1,1
AT1G12390,0,0,0,1,0,0,0
AT1G12420,0,0,1,1,1,0,0
AT1G12520,0,0,0,1,0,0,0
AT1G12580,0,1,1,1,1,1,1
AT1G12640,0,0,0,1,0,0,0
AT1G12650,0,0,0,1,0,0,0
AT1G12750,0,1,1,1,1,1,1
AT1G12760,0,0,1,1,1,0,1
AT1G12870,0,0,0,0,0,0,1
AT1G12880,0,0,1,0,0,0,0
AT1G12940,1,0,1,1,0,1,0
AT1G12970,0,0,0,1,0,0,0
AT1G13000,0,0,1,1,1,0,1
AT1G13080,0,1,1,1,0,0,1
AT1G13100,0,0,1,1,0,0,0
AT1G13110,0,1,1,1,1,1,1
AT1G13180,0,0,0,1,0,0,0
AT1G13195,0,0,0,1,1,0,0
AT1G13210,1,1,1,1,1,1,1
AT1G13245,0,0,0,1,0,0,0
AT1G13260,0,0,1,1,0,0,0
AT1G13300,0,0,1,0,0,0,0
AT1G13310,0,0,0,1,0,0,0
AT1G13340,1,1,1,1,1,1,1
AT1G13360,0,0,0,0,1,0,0
AT1G13390,0,0,1,1,0,1,0
AT1G13410,0,0,0,1,0,0,0
AT1G13420,0,0,0,0,0,1,0
AT1G13450,0,0,0,1,0,0,0
AT1G13470,1,1,1,1,1,1,1
AT1G13480,0,0,0,1,0,0,0
AT1G13500,0,0,0,0,0,0,1
AT1G13510,0,0,0,0,0,0,1
AT1G13520,0,1,1,1,1,1,1
AT1G13530,0,1,1,1,1,1,1
AT1G13540,1,0,1,1,1,1,0
AT1G13550,1,0,1,1,1,1,1
AT1G13580,0,0,0,1,0,0,0
AT1G13590,0,0,1,1,0,0,0
AT1G13830,0,0,1,0,1,0,0
AT1G13960,0,0,0,1,0,0,0
AT1G13990,0,0,1,1,1,1,1
